func_name,elapsed_time,device_str,num_neurons,connection_prob,timestep,min_delay,max_delay,mean_spikes_per_neuron,mean_spikes_per_bin
clock_driven_dense,0.40058469772338867,gpu,1000,0.01,0.001,0.002,0.004,24.369001388549805,243.6899871826172
clock_driven_dense,0.3707730770111084,gpu,1000,0.05,0.001,0.002,0.004,38.12800216674805,381.2799987792969
clock_driven_dense,0.37196993827819824,gpu,1000,0.1,0.001,0.002,0.004,41.85100173950195,418.5099792480469
clock_driven_dense,0.37405896186828613,gpu,1000,0.2,0.001,0.002,0.004,44.0780029296875,440.7799987792969
clock_driven_dense,0.3745758533477783,gpu,1000,0.3,0.001,0.002,0.004,45.0160026550293,450.1600036621094
clock_driven_dense,0.361966609954834,gpu,1000,0.4,0.001,0.002,0.004,45.05500030517578,450.54998779296875
clock_driven_dense,0.3670806884765625,gpu,1000,0.5,0.001,0.002,0.004,46.00700378417969,460.0699768066406
clock_driven_dense,0.36286449432373047,gpu,1000,0.75,0.001,0.002,0.004,46.07600402832031,460.7599792480469
clock_driven_dense,0.35761594772338867,gpu,1000,1,0.001,0.002,0.004,47.000003814697266,470.0
clock_driven_dense,1.924103021621704,gpu,10000,0.01,0.001,0.002,0.004,41.71929931640625,4171.9296875
clock_driven_dense,1.9235665798187256,gpu,10000,0.05,0.001,0.002,0.004,46.006500244140625,4600.64990234375
clock_driven_dense,1.9236235618591309,gpu,10000,0.1,0.001,0.002,0.004,47.001399993896484,4700.14013671875
clock_driven_dense,1.9235920906066895,gpu,10000,0.2,0.001,0.002,0.004,47.458900451660156,4745.89013671875
clock_driven_dense,1.9236836433410645,gpu,10000,0.3,0.001,0.002,0.004,48.00019836425781,4800.02001953125
clock_driven_dense,1.9236888885498047,gpu,10000,0.4,0.001,0.002,0.004,48.000099182128906,4800.009765625
clock_driven_dense,1.923370122909546,gpu,10000,0.5,0.001,0.002,0.004,48.00019836425781,4800.02001953125
clock_driven_dense,1.9234511852264404,gpu,10000,0.75,0.001,0.002,0.004,48.00029754638672,4800.02978515625
clock_driven_dense,1.9233815670013428,gpu,10000,1,0.001,0.002,0.004,48.00189971923828,4800.18994140625
event_driven,8.416175842285156e-05,cpu,10,0.05,0.001,0.002,0.004,3.0,0.30000001192092896
event_driven,9.489059448242188e-05,cpu,10,0.1,0.001,0.002,0.004,15.399999618530273,1.5399999618530273
event_driven,0.00011372566223144531,cpu,10,0.2,0.001,0.002,0.004,19.200000762939453,1.9199999570846558
event_driven,0.00013971328735351562,cpu,10,0.3,0.001,0.002,0.004,20.0,2.0
event_driven,0.0001571178436279297,cpu,10,0.4,0.001,0.002,0.004,21.100000381469727,2.109999895095825
event_driven,0.00018167495727539062,cpu,10,0.5,0.001,0.002,0.004,20.200000762939453,2.0199999809265137
event_driven,0.00022125244140625,cpu,10,0.75,0.001,0.002,0.004,21.700000762939453,2.1700000762939453
